,0
2015-04-01,0.0
2015-05-01,-0.08117482802596432
2015-06-01,-0.025299361323817646
2015-07-01,0.0
2015-07-31,-0.03199202081807247
2015-09-01,0.0
2015-10-01,0.0
2015-10-30,0.0
2015-12-01,0.0
2015-12-31,-0.01169757415821854
2016-02-01,-0.06818289422440926
2016-03-01,-0.08780241566088955
2016-04-01,-0.09600618377760226
2016-04-29,-0.09213543659767037
2016-06-01,-0.005376171429215974
2016-07-01,0.0
2016-08-01,0.0
2016-09-01,0.0
2016-09-30,0.0
2016-11-01,0.0
2016-12-01,0.0
2016-12-30,-0.01983161669301829
2017-02-01,-0.10039833857838826
2017-03-01,-0.12790977281704238
2017-03-31,-0.14245077479804538
2017-05-01,-0.15854559060986562
2017-06-01,-0.06737237183091874
2017-06-30,-0.05401002863379231
2017-08-01,-0.07784675829317626
2017-09-01,-0.041594412251281514
2017-09-29,-0.06396005738703285
2017-11-01,0.0
2017-12-01,-0.03185743875541608
2017-12-29,-0.05754489899385525
2018-02-01,0.0
2018-03-01,0.0
2018-03-29,-0.007766432809921741
2018-05-01,0.0
2018-06-01,0.0
2018-06-29,-0.08854144316424224
2018-08-01,-0.06549301017875901
2018-08-31,0.0
2018-10-01,0.0
2018-11-01,-0.16704222685360853
2018-11-30,-0.18581155967928728
2018-12-31,-0.15355630920112903
2019-02-01,-0.22527582736164578
2019-03-01,-0.2237937998428256
2019-04-01,-0.22944952004308236
2019-05-01,-0.2779323939900628
2019-05-31,-0.20835585276520033
2019-07-01,-0.29609398721279123
2019-08-01,-0.28773986090063935
2019-08-30,-0.2525421051452235
2019-10-01,-0.2715875377259725
2019-11-01,-0.3682864208868716
2019-11-29,-0.3921350479073816
2019-12-31,-0.42668014300711
2020-01-31,-0.3785972078678787
2020-02-28,-0.30976005182994854
2020-04-01,-0.25435719335105983
2020-05-01,-0.2116767004875289
2020-06-01,-0.1418013778368724
2020-07-01,0.0
2020-07-31,0.0
2020-09-01,0.0
2020-10-01,0.0
2020-10-30,-0.07855927746562977
2020-12-01,-0.11364558695133786
2020-12-31,-0.08835926983318196
2021-02-01,-0.06271724262861546
2021-03-01,-0.2892087515923419
2021-04-01,-0.3334066635921988
2021-04-30,-0.2940334228094259
2021-06-01,-0.32181628774913157
2021-07-01,-0.2868824893881516
2021-07-30,-0.3251589823941199
2021-09-01,-0.28375687416348727
2021-10-01,-0.27336948048513665
2021-11-01,-0.2369593598822935
2021-12-01,-0.2243456533023839
2021-12-31,-0.3075066936416716
2022-02-01,-0.3934247054934144
2022-03-01,-0.38866589777207916
2022-04-01,-0.3472879187083436
2022-04-29,-0.37025623348754216
2022-06-01,-0.3160200476409933
2022-07-01,-0.2618702957151285
2022-08-01,-0.3360569666729078
2022-09-01,-0.3565581959009972
2022-09-30,-0.2837594655103807
2022-11-01,-0.18601791224817035
2022-12-01,-0.25325736868682724
2022-12-30,-0.14252605327859574
2023-02-01,-0.47720086303826337
2023-03-01,-0.5062756367325947
2023-03-31,-0.543907259551272
2023-05-01,-0.48815591756604965
2023-06-01,-0.4854379615076866
2023-06-30,-0.5010314128750397
2023-08-01,-0.4974572389306927
2023-09-01,-0.44662496815585107
2023-09-29,-0.4687660686408323
2023-11-01,-0.4331535044288507
2023-12-01,-0.4512790956129927
2023-12-29,-0.4383051788993204
2024-02-01,-0.427442280500089
2024-03-01,-0.35242117732966244
2024-04-01,-0.35873447015342763
2024-05-01,-0.3845978355237296
2024-05-31,-0.3443786398549421
2024-07-01,-0.33823932827512004
2024-08-01,-0.43018170884959955
2024-08-30,-0.3893589673476216
2024-10-01,-0.4322633101530721
2024-11-01,-0.41184538662449405
2024-11-29,-0.3916608266223783
