Date,AAPL,AMZN,BAC,CVX,DIS,GOOGL,HD,JNJ,JPM,LLY,MA,META,MSFT,NVDA,PG,TSLA,UNH,V,WMT,XOM
2014-01-02,17.192825317382812,19.898500442504883,12.820024490356445,76.42955780029297,69.04154205322266,27.689788818359375,62.777793884277344,66.11085510253906,42.59413528442383,40.43244171142578,77.64091491699219,54.4114990234375,30.939617156982422,0.3739059269428253,58.220497131347656,10.006667137145996,62.3028564453125,50.961524963378906,20.899686813354492,61.615745544433594
2014-01-03,16.815170288085938,19.82200050354004,13.06686782836914,76.55886840820312,68.896728515625,27.487796783447266,62.67829513549805,66.7063980102539,42.92340850830078,40.727325439453125,77.3309326171875,54.26232147216797,30.731462478637695,0.36942654848098755,58.155452728271484,9.970666885375977,62.74564743041992,50.99613571166992,20.830821990966797,61.46748352050781
2014-01-06,16.90686798095703,19.681499481201172,13.26594352722168,76.35569763183594,68.63418579101562,27.794267654418945,62.07363510131836,67.05500030517578,43.172203063964844,41.07005310058594,76.94747161865234,56.887908935546875,30.082035064697266,0.3743774890899658,58.29278564453125,9.800000190734863,62.0271110534668,50.6894416809082,20.714292526245117,61.560157775878906
2014-01-07,16.785945892333984,19.901500701904297,13.138534545898438,77.00212860107422,69.10489654541016,28.330093383789062,62.37977981567383,68.47846984863281,42.674625396728516,40.79905700683594,78.01927947998047,57.60398483276367,30.31516456604004,0.3805069029331207,58.85662078857422,9.957332611083984,63.923728942871094,51.07681655883789,20.77785301208496,62.431121826171875
2014-01-08,16.89225196838379,20.09600067138672,13.20223331451416,75.90624237060547,68.09105682373047,28.389049530029297,62.708900451660156,68.38404846191406,43.07707214355469,40.73530578613281,77.9959716796875,57.91229248046875,29.773962020874023,0.3856935501098633,58.003623962402344,10.085332870483398,63.180118560791016,51.240543365478516,20.613637924194336,62.227264404296875
2014-01-09,16.676536560058594,20.050500869750977,13.401309967041016,75.90624237060547,67.80138397216797,28.115665435791016,62.43335723876953,68.79798889160156,42.996578216552734,41.18960952758789,78.62602996826172,56.90780258178711,29.582462310791016,0.3713126480579376,58.133750915527344,9.835332870483398,63.564456939697266,51.1690559387207,20.68250274658203,61.621917724609375
2014-01-10,16.565261840820312,19.882999420166016,13.353529930114746,74.50252532958984,68.24496459960938,28.114173889160156,62.77014923095703,68.80528259277344,42.799007415771484,41.38884735107422,77.80213165283203,57.623870849609375,30.00709342956543,0.37084099650382996,58.04700469970703,9.714667320251465,62.41147994995117,50.98920440673828,20.669260025024414,62.09135818481445
2014-01-13,16.6519832611084,19.548999786376953,13.082798957824707,73.41893005371094,66.32586669921875,27.935068130493164,61.9741325378418,68.63096618652344,42.220947265625,41.500423431396484,75.49441528320312,55.604949951171875,29.124528884887695,0.3621181845664978,57.83737564086914,9.28933334350586,61.77650451660156,50.47498321533203,20.52358627319336,60.8745002746582
2014-01-14,16.983333587646484,19.87700080871582,13.353529930114746,73.61595916748047,67.39401245117188,28.59228515625,62.00475311279297,68.79077911376953,42.25020980834961,41.795326232910156,76.58580780029297,57.424964904785156,29.790620803833008,0.3734343349933624,58.45904541015625,10.751333236694336,61.84332275390625,51.33969497680664,20.64807891845703,61.22658920288086
2014-01-15,17.32430648803711,19.793500900268555,13.65611743927002,73.37583923339844,67.24015045166016,28.5728816986084,62.05066680908203,68.8488540649414,43.53073501586914,42.56843185424805,76.74051666259766,57.28572463989258,30.606576919555664,0.3774421811103821,58.401222229003906,10.942000389099121,62.528411865234375,51.59563446044922,20.568618774414062,61.016563415527344
2014-01-16,17.227636337280273,19.790000915527344,13.600377082824707,73.16036224365234,67.17676544189453,28.761940002441406,62.19609832763672,68.7326431274414,43.16487121582031,44.07477951049805,76.93904876708984,56.87796401977539,30.714805603027344,0.3786208927631378,58.23494338989258,11.39799976348877,60.790592193603516,51.136775970458984,20.330245971679688,61.115394592285156
2014-01-17,16.805532455444336,19.980499267578125,13.544636726379395,73.44354248046875,66.96858978271484,28.620397567749023,61.997074127197266,69.03766632080078,42.52095413208008,43.96320343017578,76.2791976928711,55.99281692504883,30.290178298950195,0.37697067856788635,57.74340057373047,11.333999633789062,60.59008026123047,53.537147521972656,20.17928123474121,61.25131607055664
2014-01-21,17.066627502441406,20.352500915527344,13.544636726379395,74.1023178100586,67.167724609375,28.94801139831543,61.58380126953125,68.28961181640625,42.564849853515625,44.30591583251953,76.2847671508789,58.190757751464844,30.115345001220703,0.37838518619537354,57.96026611328125,11.778667449951172,61.12479019165039,53.47951126098633,20.086585998535156,60.8436164855957
2014-01-22,17.142465591430664,20.226999282836914,13.65611743927002,74.14541625976562,68.17251586914062,28.98084831237793,61.38479232788086,68.50022888183594,42.14044952392578,44.31388854980469,77.63809204101562,57.19622039794922,29.915512084960938,0.3779136836528778,57.706790924072266,11.904000282287598,61.3253173828125,53.72392654418945,19.956804275512695,60.46063995361328
2014-01-23,17.28762435913086,19.993499755859375,13.42519474029541,72.88945007324219,67.70181274414062,28.85845947265625,61.41538619995117,67.35276794433594,41.32091522216797,43.95523452758789,76.76197814941406,56.32101821899414,30.023752212524414,0.3764991760253906,56.98574447631836,12.100000381469727,61.158233642578125,52.63096618652344,19.853513717651367,59.898529052734375
2014-01-24,16.97338104248047,19.3799991607666,13.098722457885742,71.59652709960938,65.8280029296875,27.956209182739258,60.5887451171875,65.80583190917969,40.31113052368164,43.13430404663086,73.17367553710938,54.15291213989258,30.6481990814209,0.36683332920074463,57.67037582397461,11.640000343322754,59.82143020629883,51.01686477661133,19.710493087768555,58.588993072509766
