,0
2015-04-01,0.04323360975996493
2015-05-01,-0.08117482802596429
2015-06-01,0.06081185888943569
2015-07-01,0.04312870884720507
2015-07-31,-0.03199202081807245
2015-09-01,0.04264590079015315
2015-10-01,0.022540269058126783
2015-10-30,0.0261020651705689
2015-12-01,0.037985047272936334
2015-12-31,-0.011697574158218593
2016-02-01,-0.057153881837413906
2016-03-01,-0.02105512048971256
2016-04-01,-0.00899341135907128
2016-04-29,0.004281829267490989
2016-06-01,0.09556410577731322
2016-07-01,0.019806429778919
2016-08-01,0.06153974581185842
2016-09-01,0.024548677190368434
2016-09-30,0.02214024727807401
2016-11-01,0.02231187630973963
2016-12-01,0.05134107666954957
2016-12-30,-0.01983161669301839
2017-02-01,-0.08219681766672227
2017-03-01,-0.030581795719650667
2017-03-31,-0.016673735730273698
2017-05-01,-0.018768387095248
2017-06-01,0.10835194130722667
2017-06-30,0.014327629584981405
2017-08-01,-0.02519765576897051
2017-09-01,0.039312713334710814
2017-09-29,-0.023336305027486293
2017-11-01,0.07265988878684287
2017-12-01,-0.031857438755416106
2017-12-29,-0.026532724896855098
2018-02-01,0.11999300646373184
2018-03-01,0.06371268509425909
2018-03-29,-0.007766432809921703
2018-05-01,0.044944095241963355
2018-06-01,0.055795968330934254
2018-06-29,-0.08854144316424226
2018-08-01,0.02528741741752763
2018-08-31,0.07862103429127992
2018-10-01,0.023480132335518378
2018-11-01,-0.1670422268536085
2018-11-30,-0.022533354547830065
2018-12-31,0.03961644366438394
2019-02-01,-0.0847304066887522
2019-03-01,0.0019129744122647618
2019-04-01,-0.007286363081242392
2019-05-01,-0.0629197894337711
2019-05-31,0.09635737795984856
2019-07-01,-0.11083026983027525
2019-08-01,0.011868241157754533
2019-08-30,0.04941699503207167
2019-10-01,-0.025480274824643212
2019-11-01,-0.13275292251180776
2019-11-29,-0.03775227857851568
2019-12-31,-0.05683021365322094
2020-01-31,0.08386755587261588
2020-02-28,0.11077703046962509
2020-04-01,0.08026608518642178
2020-05-01,0.05723986402463277
2020-06-01,0.0886379010919377
2020-07-01,0.1970695408991913
2020-07-31,0.13385832635027892
2020-09-01,0.29958798410876475
2020-10-01,0.029837763353483593
2020-10-30,-0.07855927746562977
2020-12-01,-0.03807766319379202
2020-12-31,0.028528449507214865
2021-02-01,0.02812733827708025
2021-03-01,-0.24164693864519957
2021-04-01,-0.062181283321749936
2021-04-30,0.0590663582011651
2021-06-01,-0.03935436299303116
2021-07-01,0.051510818867996494
2021-07-30,-0.05367487466845036
2021-09-01,0.06135090658465597
2021-10-01,0.014502608546810153
2021-11-01,0.050108163124158944
2021-12-01,0.016530845038560227
2021-12-31,-0.10721404539708917
2022-02-01,-0.12407053044825353
2022-03-01,0.00784537016992451
2022-04-01,0.06768472249943105
2022-04-29,-0.03518904496718739
2022-06-01,0.08612421230766706
2022-07-01,0.07916862437138023
2022-08-01,-0.10050628030158226
2022-09-01,-0.03087799434441757
2022-09-30,0.11313957210560019
2022-11-01,0.13646470501960528
2022-12-01,-0.08260557259235057
2022-12-30,0.14828578249711916
2023-02-01,-0.39030318185096347
2023-03-01,-0.05561366046489724
2023-03-31,-0.07621990247683122
2023-05-01,0.12223685457122424
2023-06-01,0.0053101250002508815
2023-06-30,-0.03030431746003376
2023-08-01,0.007163124165674106
2023-09-01,0.10115014027200597
2023-09-29,-0.040011021840278826
2023-11-01,0.06703744265895523
2023-12-01,-0.031976189895782714
2023-12-29,0.023643926465979737
2024-02-01,0.019339502504126332
2024-03-01,0.13102801798908964
2024-04-01,-0.009749072395128483
2024-05-01,-0.04033175676305262
2024-05-31,0.0653543292344699
2024-07-01,0.009364111594020813
2024-08-01,-0.1389359998303187
2024-08-30,0.07164168321020606
2024-10-01,-0.07026115264329896
2024-11-01,0.03596372031915565
2024-11-29,0.034318459029460846
